C3_05930W_A	CTA4	CR_07790C_A	YHB1	Direct Positive
C4_06820C_A	CZF1	C4_06820C_A	CZF1	Direct
C4_06820C_A	CZF1	CR_07890W_A	EFG1	Direct
C4_06820C_A	CZF1	C1_07890C_A	ADE5,7	Direct
C4_06820C_A	CZF1	C1_07900W_A	COI1	Direct
C4_06820C_A	CZF1	CR_02630C_A	CR_02630C_A	Direct
C4_06820C_A	CZF1	CR_02640W_A	RFG1	Direct
C4_06820C_A	CZF1	C1_01510W_A	C1_01510W_A	Direct
C4_06820C_A	CZF1	C1_14360C_A	WSC4	Direct
C4_06820C_A	CZF1	CR_10160W_A	FAA4	Direct
C4_06820C_A	CZF1	C1_04990C_A	C1_04990C_A	Direct
C4_06820C_A	CZF1	C1_05000W_A	RHD1	Direct
C4_06820C_A	CZF1	C6_00290W_A	C6_00290W_A	Direct
C4_06820C_A	CZF1	CR_06590C_A	RGS2	Direct
C4_06820C_A	CZF1	CR_06610W_A	STE2	Direct
C4_06820C_A	CZF1	CR_06140W_A	CR_06140W_A	Direct
C4_06820C_A	CZF1	C3_07730W_A	WOR4	Direct
C4_06820C_A	CZF1	CR_03890W_A	WOR3	Direct
C4_06820C_A	CZF1	C2_04510W_A	RIM2	Direct
C4_06820C_A	CZF1	C4_01070W_A	HGT17	Direct
C4_06820C_A	CZF1	C3_05160C_A	C3_05160C_A	Direct
C4_06820C_A	CZF1	C3_05170W_A	WOR2	Direct
C4_06820C_A	CZF1	C2_00750W_A	C2_00750W_A	Direct
C4_06820C_A	CZF1	C2_00740C_A	C2_00740C_A	Direct
C4_06820C_A	CZF1	C1_10850W_A	C1_10850W_A	Direct
C4_06820C_A	CZF1	C1_10840C_A	C1_10840C_A	Direct
C4_06820C_A	CZF1	C1_10150W_A	WOR1	Indirect Positive
C4_06820C_A	CZF1	C1_05600W_A	GSL1	Indirect Negative
C4_06820C_A	CZF1	C2_07170C_A	AFT2	Indirect Positive
CR_07890W_A	EFG1	C4_03470C_A	ECE1	Direct Positive
CR_07890W_A	EFG1	C4_03570W_A	HWP1	Direct Dual
CR_07890W_A	EFG1	CR_10110W_A	CHT3	Direct Negative
